Marketin_expense,Production_expense,Multiplex_coverage,Budget,Movie_length,Lead_ Actor_Rating,Lead_Actress_rating,Director_rating,Producer_rating,Critic_rating,Trailer_views,Time_taken,Twitter_hastags,Avg_age_actors,Num_multiplex,3D_available,Genre_Thriller,Genre_Drama,Genre_Comedy
20.1264,59.62,0.462,36524.125,138.7,7.825,8.095,7.91,7.995,7.94,527367,109.6,223.84,23,494,1,1,0,0
20.5462,69.14,0.531,35668.655,152.4,7.505,7.65,7.44,7.47,7.44,494055,146.64,243.456,42,462,0,0,1,0
20.5458,69.14,0.531,39912.675,134.6,7.485,7.57,7.495,7.515,7.44,547051,147.88,2022.4,38,458,0,0,0,1
20.6474,59.36,0.542,38873.89,119.3,6.895,7.035,6.92,7.02,8.26,516279,185.36,225.344,45,472,1,0,1,0
21.381,59.36,0.542,39701.585,127.7,6.92,7.07,6.815,7.07,8.26,531448,176.48,225.792,55,395,0,0,1,0
20.597,59.36,0.542,35718.65,132.2,6.89,7.1,6.885,7.005,7.26,498425,143.48,284.592,53,460,1,0,0,1
21.7658,70.74,0.476,33396.66,140.1,7.065,7.265,7.15,7.4,8.96,459241,139.16,243.664,41,522,1,1,0,0
22.891,70.74,0.476,34285.46,169.6,6.98,7.075,6.875,7.17,7.96,400821,116.84,243.536,56,571,0,0,1,0
24.2248,70.74,0.476,31280.205,173.5,6.91,7.075,6.85,7,7.96,295168,118.6,242.64,55,564,1,0,0,1
23.4008,70.74,0.476,33352.22,159.4,6.665,6.725,6.575,6.855,7.96,412012,189.56,283.024,45,508,1,1,0,0
24.4978,70.74,0.476,35424.235,167.8,6.675,6.845,6.725,7.06,8.96,369595,120,222.4,29,578,0,0,1,0
22.3494,70.74,0.476,33379.995,156.4,6.865,7.035,6.745,6.905,8.96,451646,185.56,263.024,23,553,0,0,0,0
21.8756,70.74,0.476,32713.395,112.5,7.12,7.43,7.21,7.335,8.96,407557,110.68,203.472,57,575,1,0,0,0
32.5952,71.28,0.462,33046.695,135.3,7.64,7.705,7.535,7.705,6.8,472490,118.16,283.264,39,535,1,0,0,1
32.7592,71.28,0.462,33863.28,158,7.7,7.9,7.76,7.71,7.8,495311,139.28,262.912,49,599,0,0,0,1
32.5478,71.28,0.462,32407.87,130,7.7,7.825,7.64,7.84,6.8,497626,169.96,283.184,28,598,1,1,0,0
41.0786,71.28,0.462,32968.925,102.8,7.67,7.805,7.74,7.785,7.8,532331,109.24,203.696,46,547,0,0,0,1
35.684,71.28,0.462,33274.45,155.2,7.72,7.925,7.82,8.015,6.8,431225,109,222.8,56,548,0,0,1,0
36.0542,71.28,0.462,30308.08,110.1,8.1,8.24,8.07,8,6.8,448317,170.08,243.232,41,543,1,0,0,0
34.516,71.28,0.462,31813.485,143,8.01,8.175,8,8.215,7.8,463328,171.28,242.912,27,578,0,0,0,0
45.0358,71.28,0.462,30941.35,171.6,8.035,8.205,7.955,8.21,7.8,371051,170,302.176,44,484,1,0,0,0
37.0408,71.28,0.462,33135.575,162.7,7.945,8.14,7.83,8.06,7.8,457361,183.84,283.136,23,541,1,0,0,1
44.6494,71.28,0.462,34118.81,165.2,7.91,8.01,7.845,8.275,6.8,387496,116.08,282.432,48,575,1,1,0,0
