order_id,product_id,product_category,quantity,price_dollars,customer_id,order_date,country,state,sales_hour,discount_percent,return_status,sales_value,website_traffic,order_number,lifetime_value
1,1439,Books,1,160,10510,2022-01-01 00:00:00,USA,California,0,9,Not Returned,145.6,280,1,145.6
2,4268,Home & Kitchen,5,198,25456,2022-01-01 01:00:00,India,Maharashtra,1,10,Returned,891.0,909,1,891.0
3,1627,Electronics,2,58,23047,2022-01-01 02:00:00,India,Maharashtra,2,3,Returned,112.52,626,1,112.52
4,4463,Electronics,7,185,21280,2022-01-01 03:00:00,UK,England,3,19,Not Returned,1048.95,282,1,2352.75
5,4103,Books,5,30,16379,2022-01-01 04:00:00,Australia,New South Wales,4,4,Returned,144.0,606,1,144.0
6,3461,Books,2,106,13650,2022-01-01 05:00:00,Canada,Ontario,5,8,Returned,195.04000000000002,540,1,195.04000000000002
7,3186,Clothing,1,103,19444,2022-01-01 06:00:00,Australia,New South Wales,6,4,Returned,98.88,973,1,98.88
8,2790,Clothing,7,152,18959,2022-01-01 07:00:00,UK,England,7,5,Not Returned,1010.8,911,1,1010.8
9,3966,Home & Kitchen,9,196,12644,2022-01-01 08:00:00,Australia,New South Wales,8,18,Not Returned,1446.48,879,1,1446.48
10,3986,Grocery,9,51,12019,2022-01-01 09:00:00,Canada,Ontario,9,11,Not Returned,408.51,406,1,408.51
11,3377,Grocery,6,174,21266,2022-01-01 10:00:00,UK,England,10,12,Returned,918.72,604,1,918.72
12,4695,Home & Kitchen,6,65,22926,2022-01-01 11:00:00,Canada,Ontario,11,0,Not Returned,390.0,194,1,390.0
13,2687,Books,1,200,29256,2022-01-01 12:00:00,Australia,New South Wales,12,4,Returned,192.0,505,1,192.0
14,1679,Grocery,3,190,24004,2022-01-01 13:00:00,UK,England,13,15,Returned,484.5,989,1,484.5
15,4459,Home & Kitchen,3,56,17376,2022-01-01 14:00:00,Canada,Ontario,14,3,Returned,162.96,525,1,162.96
